['traffic_in', 'posess', 'sell_drugs_to', 'provide_shelter_for', 'NA']
*** Train ***
{'loss': 39.2741, 'learning_rate': 4.971910112359551e-05, 'epoch': 0.11}
{'loss': 32.4891, 'learning_rate': 4.943820224719101e-05, 'epoch': 0.22}
{'loss': 25.1183, 'learning_rate': 4.915730337078652e-05, 'epoch': 0.34}
{'loss': 17.0995, 'learning_rate': 4.8876404494382024e-05, 'epoch': 0.45}
{'loss': 12.5594, 'learning_rate': 4.859550561797753e-05, 'epoch': 0.56}
{'loss': 10.61, 'learning_rate': 4.831460674157304e-05, 'epoch': 0.67}
{'loss': 10.222, 'learning_rate': 4.803370786516854e-05, 'epoch': 0.79}
{'loss': 9.3238, 'learning_rate': 4.7752808988764046e-05, 'epoch': 0.9}
{'eval_f1': 0.4090293453720912, 'eval_precision': 0.5815147625152998, 'eval_recall': 0.31545961002763545, 'epoch': 1.0}
{'loss': 8.873, 'learning_rate': 4.747191011235955e-05, 'epoch': 1.01}
{'loss': 8.5265, 'learning_rate': 4.719101123595506e-05, 'epoch': 1.12}
{'loss': 8.148, 'learning_rate': 4.691011235955056e-05, 'epoch': 1.24}
{'loss': 7.6653, 'learning_rate': 4.662921348314607e-05, 'epoch': 1.35}
{'loss': 7.716, 'learning_rate': 4.6348314606741575e-05, 'epoch': 1.46}
{'loss': 7.7144, 'learning_rate': 4.606741573033708e-05, 'epoch': 1.57}
{'loss': 7.7889, 'learning_rate': 4.578651685393259e-05, 'epoch': 1.69}
{'loss': 7.5224, 'learning_rate': 4.550561797752809e-05, 'epoch': 1.8}
{'loss': 7.6513, 'learning_rate': 4.52247191011236e-05, 'epoch': 1.91}
{'eval_f1': 0.44181380417317745, 'eval_precision': 0.5213068181815713, 'eval_recall': 0.3833565459608693, 'epoch': 2.0}
{'loss': 6.9892, 'learning_rate': 4.4943820224719104e-05, 'epoch': 2.02}
{'loss': 6.9677, 'learning_rate': 4.4662921348314605e-05, 'epoch': 2.13}
{'loss': 6.5647, 'learning_rate': 4.438202247191011e-05, 'epoch': 2.25}
{'loss': 6.6529, 'learning_rate': 4.410112359550562e-05, 'epoch': 2.36}
{'loss': 6.7659, 'learning_rate': 4.3820224719101126e-05, 'epoch': 2.47}
{'loss': 6.819, 'learning_rate': 4.353932584269663e-05, 'epoch': 2.58}
{'loss': 6.7055, 'learning_rate': 4.3258426966292134e-05, 'epoch': 2.7}
{'loss': 6.517, 'learning_rate': 4.297752808988764e-05, 'epoch': 2.81}
{'loss': 6.7605, 'learning_rate': 4.269662921348315e-05, 'epoch': 2.92}
{'eval_f1': 0.47116564417165063, 'eval_precision': 0.5708622398412385, 'eval_recall': 0.40111420612804055, 'epoch': 3.0}
{'loss': 6.4356, 'learning_rate': 4.2415730337078655e-05, 'epoch': 3.03}
{'loss': 6.3459, 'learning_rate': 4.2134831460674156e-05, 'epoch': 3.15}
{'loss': 6.1577, 'learning_rate': 4.185393258426967e-05, 'epoch': 3.26}
{'loss': 6.2479, 'learning_rate': 4.157303370786517e-05, 'epoch': 3.37}
{'loss': 5.9246, 'learning_rate': 4.129213483146068e-05, 'epoch': 3.48}
{'loss': 6.2529, 'learning_rate': 4.1011235955056184e-05, 'epoch': 3.6}
{'loss': 6.0451, 'learning_rate': 4.0730337078651685e-05, 'epoch': 3.71}
